"Date","Movement","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive"
"2008-07-08",0,10,7,5,18,3,7,3,11,20,13
"2008-07-09",1,8,6,3,11,1,4,1,8,14,8
"2008-07-10",0,13,10,6,18,7,9,7,14,21,15
"2008-07-11",1,6,6,0,9,3,5,2,8,15,10
"2008-07-14",1,14,10,5,16,5,9,3,8,22,15
"2008-07-15",1,6,6,5,6,7,7,1,17,20,18
"2008-07-16",0,15,7,7,21,5,14,4,15,27,13
"2008-07-17",0,14,13,8,18,5,10,6,7,23,14
"2008-07-18",0,12,7,4,21,6,10,7,13,25,17
"2008-07-21",1,9,7,6,14,4,8,5,17,13,18
"2008-07-22",0,11,5,3,12,3,6,3,8,16,11
"2008-07-23",0,14,10,4,21,7,8,5,14,25,17
"2008-07-24",1,9,7,4,12,3,9,6,9,16,13
"2008-07-25",0,14,9,8,20,6,12,5,16,24,18
"2008-07-28",1,15,10,7,23,4,11,7,11,21,14
"2008-07-29",0,14,9,4,22,5,13,9,9,30,13
"2008-07-30",0,16,6,8,14,3,8,4,14,26,16
"2008-07-31",1,8,7,5,12,7,6,5,15,14,16
"2008-08-01",1,7,9,6,14,6,9,4,20,17,22
"2008-08-04",1,11,8,6,14,5,7,2,16,20,19
"2008-08-05",0,6,8,8,13,3,4,2,11,17,8
"2008-08-06",0,12,3,8,15,1,13,1,8,24,15
"2008-08-07",1,11,7,7,16,4,8,6,13,21,9
"2008-08-08",0,12,9,4,15,3,10,3,7,20,11
"2008-08-11",0,12,5,1,13,3,8,7,5,18,10
"2008-08-12",1,9,7,4,16,7,8,1,16,21,18
"2008-08-13",1,6,8,2,11,3,8,3,10,16,18
"2008-08-14",0,15,12,5,18,8,10,5,12,20,19
"2008-08-15",0,9,4,2,9,7,4,2,13,13,15
"2008-08-18",1,16,8,2,14,6,9,3,11,23,20
"2008-08-19",1,9,7,5,16,4,6,6,13,15,16
"2008-08-20",0,11,7,3,13,4,7,5,14,16,16
"2008-08-21",0,11,6,6,8,6,6,3,14,21,16
"2008-08-22",0,9,7,6,16,5,8,3,13,23,16
"2008-08-25",1,14,9,3,20,7,8,10,13,23,19
"2008-08-26",0,10,8,6,18,5,12,5,13,23,8
"2008-08-27",0,10,8,3,17,5,9,4,16,21,15
"2008-08-28",0,8,9,5,16,6,5,2,10,17,18
"2008-08-29",1,9,11,4,9,7,5,3,12,15,23
"2008-09-02",1,13,10,2,16,3,8,6,12,16,17
"2008-09-03",0,8,7,4,11,3,7,5,7,17,15
"2008-09-04",1,15,8,4,12,7,6,4,19,20,16
"2008-09-05",0,10,10,2,12,5,8,2,7,15,12
"2008-09-08",0,9,7,4,13,6,6,5,13,16,22
"2008-09-09",1,11,7,6,18,5,14,5,18,20,23
"2008-09-10",0,11,3,3,17,4,11,5,11,16,11
"2008-09-11",0,6,4,2,7,2,4,3,5,12,11
"2008-09-12",1,12,7,5,10,4,7,5,14,19,17
